1 	Avg Reward:  0.12841796875 	 Loss:  4.13406229019165 	 Wins:  0.39215686274509803 	 Epsilon_actor:  1 	 Epsilon_critic:  1
2 	Avg Reward:  0.12255859375 	 Loss:  5.407596111297607 	 Wins:  0.3861003861003861 	 Epsilon_actor:  0.9 	 Epsilon_critic:  0.81
3 	Avg Reward:  0.12255859375 	 Loss:  4.842951774597168 	 Wins:  0.3861003861003861 	 Epsilon_actor:  0.9 	 Epsilon_critic:  0.81
4 	Avg Reward:  0.1484375 	 Loss:  4.271953105926514 	 Wins:  0.0 	 Epsilon_actor:  0.9 	 Epsilon_critic:  0.81
5 	Avg Reward:  0.10302734375 	 Loss:  5.520057201385498 	 Wins:  0.0 	 Epsilon_actor:  0.81 	 Epsilon_critic:  0.7290000000000001
6 	Avg Reward:  0.0830078125 	 Loss:  4.106100082397461 	 Wins:  0.34965034965034963 	 Epsilon_actor:  0.81 	 Epsilon_critic:  0.7290000000000001
7 	Avg Reward:  0.1318359375 	 Loss:  3.9549474716186523 	 Wins:  0.7874015748031497 	 Epsilon_actor:  0.81 	 Epsilon_critic:  0.7290000000000001
8 	Avg Reward:  0.13427734375 	 Loss:  3.3532865047454834 	 Wins:  0.398406374501992 	 Epsilon_actor:  0.81 	 Epsilon_critic:  0.7290000000000001
9 	Avg Reward:  0.1572265625 	 Loss:  4.016079902648926 	 Wins:  0.0 	 Epsilon_actor:  0.81 	 Epsilon_critic:  0.7290000000000001
10 	Avg Reward:  0.125 	 Loss:  6.388103008270264 	 Wins:  0.0 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
11 	Avg Reward:  0.12060546875 	 Loss:  4.715482234954834 	 Wins:  0.0 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
12 	Avg Reward:  0.13525390625 	 Loss:  3.6077001094818115 	 Wins:  0.0 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
13 	Avg Reward:  0.140625 	 Loss:  4.835153579711914 	 Wins:  0.8064516129032258 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
14 	Avg Reward:  0.1318359375 	 Loss:  5.322518825531006 	 Wins:  0.7874015748031497 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
15 	Avg Reward:  0.12353515625 	 Loss:  4.582924842834473 	 Wins:  0.0 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
16 	Avg Reward:  0.12646484375 	 Loss:  5.198302268981934 	 Wins:  0.0 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
17 	Avg Reward:  0.11474609375 	 Loss:  5.056953430175781 	 Wins:  0.0 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
18 	Avg Reward:  0.130859375 	 Loss:  6.078965187072754 	 Wins:  0.0 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
19 	Avg Reward:  0.1533203125 	 Loss:  5.207119941711426 	 Wins:  0.42016806722689076 	 Epsilon_actor:  0.7290000000000001 	 Epsilon_critic:  0.6561000000000001
20 	Avg Reward:  0.1181640625 	 Loss:  4.458395481109619 	 Wins:  0.3816793893129771 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
21 	Avg Reward:  0.107421875 	 Loss:  4.501222610473633 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
22 	Avg Reward:  0.1103515625 	 Loss:  3.4211952686309814 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
23 	Avg Reward:  0.13427734375 	 Loss:  3.0078113079071045 	 Wins:  0.398406374501992 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
24 	Avg Reward:  0.126953125 	 Loss:  3.3253979682922363 	 Wins:  0.390625 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
25 	Avg Reward:  0.10693359375 	 Loss:  3.1950414180755615 	 Wins:  0.7380073800738007 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
26 	Avg Reward:  0.15185546875 	 Loss:  2.494645357131958 	 Wins:  0.41841004184100417 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
27 	Avg Reward:  0.1162109375 	 Loss:  3.515911102294922 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
28 	Avg Reward:  0.1337890625 	 Loss:  1.9459820985794067 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
29 	Avg Reward:  0.12060546875 	 Loss:  3.3635149002075195 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
30 	Avg Reward:  0.10107421875 	 Loss:  2.825223922729492 	 Wins:  0.7272727272727273 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
31 	Avg Reward:  0.12060546875 	 Loss:  2.6418344974517822 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
32 	Avg Reward:  0.125 	 Loss:  2.628223180770874 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
33 	Avg Reward:  0.1474609375 	 Loss:  4.354846954345703 	 Wins:  0.4132231404958678 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
34 	Avg Reward:  0.13671875 	 Loss:  4.41053581237793 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
35 	Avg Reward:  0.130859375 	 Loss:  6.112557888031006 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
36 	Avg Reward:  0.10302734375 	 Loss:  5.739484786987305 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
37 	Avg Reward:  0.0869140625 	 Loss:  5.933683395385742 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
38 	Avg Reward:  0.11474609375 	 Loss:  6.734053134918213 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
39 	Avg Reward:  0.1279296875 	 Loss:  5.392002105712891 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
40 	Avg Reward:  0.14111328125 	 Loss:  4.321358680725098 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
41 	Avg Reward:  0.14208984375 	 Loss:  6.789539337158203 	 Wins:  0.8097165991902834 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
42 	Avg Reward:  0.1298828125 	 Loss:  5.69411039352417 	 Wins:  0.3937007874015748 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
43 	Avg Reward:  0.10888671875 	 Loss:  5.856975078582764 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
44 	Avg Reward:  0.13232421875 	 Loss:  6.633535385131836 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
45 	Avg Reward:  0.10888671875 	 Loss:  5.855010509490967 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
46 	Avg Reward:  0.15185546875 	 Loss:  3.747770309448242 	 Wins:  0.41841004184100417 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
47 	Avg Reward:  0.12255859375 	 Loss:  4.08559513092041 	 Wins:  0.3861003861003861 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
48 	Avg Reward:  0.1162109375 	 Loss:  2.283830165863037 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
49 	Avg Reward:  0.14013671875 	 Loss:  4.385667324066162 	 Wins:  0.4048582995951417 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
50 	Avg Reward:  0.14404296875 	 Loss:  2.895157814025879 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
51 	Avg Reward:  0.1220703125 	 Loss:  2.649653673171997 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
52 	Avg Reward:  0.130859375 	 Loss:  2.1164097785949707 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
53 	Avg Reward:  0.14892578125 	 Loss:  3.7204198837280273 	 Wins:  0.4149377593360996 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
54 	Avg Reward:  0.14013671875 	 Loss:  3.6437251567840576 	 Wins:  0.4048582995951417 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
55 	Avg Reward:  0.1484375 	 Loss:  4.545285224914551 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
56 	Avg Reward:  0.10302734375 	 Loss:  6.124833583831787 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
57 	Avg Reward:  0.1298828125 	 Loss:  5.361593723297119 	 Wins:  0.3937007874015748 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
58 	Avg Reward:  0.12353515625 	 Loss:  7.272219181060791 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
59 	Avg Reward:  0.13037109375 	 Loss:  6.983513832092285 	 Wins:  0.7843137254901961 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
60 	Avg Reward:  0.11376953125 	 Loss:  7.973752021789551 	 Wins:  0.37735849056603776 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
61 	Avg Reward:  0.13525390625 	 Loss:  7.457943916320801 	 Wins:  1.1857707509881423 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
62 	Avg Reward:  0.1181640625 	 Loss:  7.042771816253662 	 Wins:  0.3816793893129771 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
63 	Avg Reward:  0.13671875 	 Loss:  7.956883907318115 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
64 	Avg Reward:  0.1123046875 	 Loss:  6.733682632446289 	 Wins:  0.37593984962406013 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
65 	Avg Reward:  0.13818359375 	 Loss:  4.613715648651123 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
66 	Avg Reward:  0.1416015625 	 Loss:  6.453977584838867 	 Wins:  0.4065040650406504 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
67 	Avg Reward:  0.158203125 	 Loss:  5.276517868041992 	 Wins:  0.847457627118644 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
68 	Avg Reward:  0.16748046875 	 Loss:  4.215404510498047 	 Wins:  0.0 	 Epsilon_actor:  0.6561000000000001 	 Epsilon_critic:  0.5904900000000002
69 	Avg Reward:  0.1396484375 	 Loss:  4.04375696182251 	 Wins:  0.0 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
70 	Avg Reward:  0.12109375 	 Loss:  3.597529411315918 	 Wins:  0.38461538461538464 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
71 	Avg Reward:  0.1474609375 	 Loss:  4.423151969909668 	 Wins:  0.4132231404958678 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
72 	Avg Reward:  0.13134765625 	 Loss:  2.9906973838806152 	 Wins:  0.3952569169960474 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
73 	Avg Reward:  0.1591796875 	 Loss:  2.9206247329711914 	 Wins:  0.42735042735042733 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
74 	Avg Reward:  0.1318359375 	 Loss:  2.4506146907806396 	 Wins:  0.7874015748031497 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
75 	Avg Reward:  0.13720703125 	 Loss:  2.5637192726135254 	 Wins:  0.40160642570281124 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
76 	Avg Reward:  0.12646484375 	 Loss:  2.4776158332824707 	 Wins:  0.0 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
77 	Avg Reward:  0.14990234375 	 Loss:  2.9425103664398193 	 Wins:  0.0 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
78 	Avg Reward:  0.12255859375 	 Loss:  3.5285022258758545 	 Wins:  1.520912547528517 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
79 	Avg Reward:  0.142578125 	 Loss:  2.707305669784546 	 Wins:  1.2096774193548387 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
80 	Avg Reward:  0.13916015625 	 Loss:  3.2203238010406494 	 Wins:  0.8032128514056225 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
81 	Avg Reward:  0.12744140625 	 Loss:  3.432614326477051 	 Wins:  0.7782101167315175 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
82 	Avg Reward:  0.15869140625 	 Loss:  3.5933547019958496 	 Wins:  1.2658227848101267 	 Epsilon_actor:  0.5904900000000002 	 Epsilon_critic:  0.5314410000000002
